stratum,threshold,model,biopsy_all,biopsy_none
DDI V-VI,0.37,-0.027120181405895692,-0.44217687074829937,0.0
DDI V-VI,0.38,-0.02654377880184331,-0.46543778801843316,0.0
DDI V-VI,0.39,-0.025761124121779867,-0.48946135831381743,0.0
DDI V-VI,0.4,-0.02476190476190477,-0.5142857142857143,0.0
DDI V-VI,0.41,-0.027506053268765117,-0.5399515738498788,0.0
DDI V-VI,0.42,-0.02206896551724137,-0.5665024630541872,0.0
DDI V-VI,0.43,-0.02606516290726816,-0.593984962406015,0.0
DDI V-VI,0.44,-0.028571428571428574,-0.6224489795918368,0.0
DDI V-VI,0.45,-0.03116883116883116,-0.6519480519480519,0.0
DDI V-VI,0.46,-0.033862433862433865,-0.6825396825396826,0.0
DDI V-VI,0.47,-0.0366576819407008,-0.7142857142857142,0.0
DDI V-VI,0.48,-0.029450549450549455,-0.7472527472527473,0.0
DDI V-VI,0.49,-0.03204481792717086,-0.7815126050420168,0.0
DDI V-VI,0.5,-0.03428571428571428,-0.8171428571428572,0.0
